구별,cctv댓수,최근증가율,인구수,내국인,외국인,고령자,외국인비율,고령자비율
종로구,1715,48.51485148514851,153789,144683,9106,27818,5.92,18.09
중구,2447,80.10657193605684,131787,122499,9288,24392,7.05,18.51
용산구,2611,80.6923076923077,237285,222953,14332,39070,6.04,16.47
성동구,3829,68.64406779661017,292672,285990,6682,46380,2.28,15.85
광진구,3211,115.65440547476476,352627,339996,12631,51723,3.58,14.67
동대문구,2628,36.41520136131594,352006,337400,14606,62211,4.15,17.67
중랑구,3737,274.42748091603056,391885,387350,4535,71682,1.16,18.29
성북구,4602,80.33289531318441,440142,430528,9614,74709,2.18,16.97
강북구,3090,436.34496919917865,302563,299182,3381,64333,1.12,21.26
도봉구,1930,103.87858347386172,319373,317366,2007,64160,0.63,20.09
노원구,2492,68.47181008902078,514946,510956,3990,88345,0.77,17.16
은평구,4131,118.84753901560624,477173,473307,3866,87241,0.81,18.28
서대문구,3055,79.30194805194805,315659,304819,10840,54268,3.43,17.19
마포구,2496,97.24770642201835,378686,368905,9781,54582,2.58,14.41
양천구,3650,87.27378867483947,450487,447302,3185,68627,0.71,15.23
강서구,2744,82.39815526518063,579768,574315,5453,92558,0.94,15.96
구로구,4608,70.89077412513255,421163,396754,24409,72611,5.8,17.24
금천구,2411,150.3177966101695,244891,230811,14080,41041,5.75,16.76
영등포구,4056,153.04347826086956,400908,376837,24071,62516,6.0,15.59
동작구,2306,86.46179401993355,394364,385483,8881,66613,2.25,16.89
관악구,5149,55.690915419422204,499449,485699,13750,79871,2.75,15.99
서초구,4082,51.05195362816659,416167,412279,3888,60678,0.93,14.58
강남구,6871,64.38284518828452,537800,533042,4758,78226,0.88,14.55
송파구,2897,213.757225433526,663965,658338,5627,97691,0.85,14.71
강동구,2809,144.52789699570815,466472,462664,3808,74070,0.82,15.88
